,Date,Open,High,Low,Close,Adj Close,Volume
0,2023-06-30,5.300000190734863,5.300000190734863,5.0,5.199999809265137,5.199999809265137,3380
1,2023-07-03,5.300000190734863,5.300000190734863,5.0,5.300000190734863,5.300000190734863,2490
2,2023-07-05,5.300000190734863,5.300000190734863,4.610000133514404,4.960000038146973,4.960000038146973,14870
3,2023-07-06,4.800000190734863,4.900000095367432,4.610000133514404,4.639999866485596,4.639999866485596,6250
4,2023-07-07,5.369999885559082,5.369999885559082,4.46999979019165,4.670000076293945,4.670000076293945,8540
5,2023-07-10,4.539999961853027,4.699999809265137,4.400000095367432,4.570000171661377,4.570000171661377,2600
6,2023-07-11,4.650000095367432,4.650000095367432,4.5,4.599999904632568,4.599999904632568,3440
7,2023-07-12,4.599999904632568,4.599999904632568,4.400000095367432,4.5,4.5,1890
8,2023-07-13,4.489999771118164,5.0,4.409999847412109,4.5,4.5,4300
9,2023-07-14,4.400000095367432,4.5,4.199999809265137,4.199999809265137,4.199999809265137,5910
10,2023-07-17,4.0,4.0,3.509999990463257,3.7899999618530273,3.7899999618530273,13940
11,2023-07-18,3.5,4.400000095367432,3.450000047683716,4.170000076293945,4.170000076293945,42760
12,2023-07-19,3.950000047683716,4.199999809265137,3.5,4.199999809265137,4.199999809265137,14050
13,2023-07-20,4.0,4.0,3.799999952316284,3.799999952316284,3.799999952316284,2440
14,2023-07-21,3.9000000953674316,3.9600000381469727,3.799999952316284,3.799999952316284,3.799999952316284,1870
15,2023-07-24,3.809999942779541,4.099999904632568,3.3299999237060547,3.9000000953674316,3.9000000953674316,33680
16,2023-07-25,4.199999809265137,4.199999809265137,3.6600000858306885,3.799999952316284,3.799999952316284,151100
17,2023-07-26,5.190000057220459,6.869999885559082,5.059999942779541,5.320000171661377,5.320000171661377,33873100
18,2023-07-27,4.079999923706055,4.400000095367432,2.890000104904175,3.0999999046325684,3.0999999046325684,1045500
19,2023-07-28,3.009999990463257,3.009999990463257,2.609999895095825,2.690000057220459,2.690000057220459,350000
